categoria,product_name,proteins_100g,fat_100g,carbohydrates_100g,energy-kcal_100g,nutriscore_grade
fish,Sardines Huile d'Olive Vierge Extra,23,15,0,227,c
fish,,30.1,6.4,0.6,180,a
fish,Joly Thon Entier,33,1.1,0.97,175,a
fish,Atun,27,10,0,198,b
fish,Filets de maquereau,30.1,8.5,0.6,180,a
fish,Plain Sardines,22,7.8,0,158,a
fish,Atún con tomate,17,8.5,2.7,155,b
fish,Filet de maquereaux au naturel,18,15,0,206,c
fish,Filet de maquereaux grillés nature,20,17,0,233,d
fish,filets de maquereaux à l'huile végétale,30.1,15.6,0.6,180.1,b
fish,Filets de maquereaux vin blanc & aromates,13,11,0.8,155,b
fish,Filets de maquereaux moutarde a l'ancienne,13,17,1.2,211,c
fish,filets de sardines sans peau sans arêtes à l'huile végétale,19.8,16.1,6.3,249,c
fish,Filets de Maquereaux au Vin Blanc,12,12,0.9,160,c
fish,Thon Joly,33,4.4,0.96,175,a
fish,Sardines à l’huile d’olive,22,15,0,223,b
fish,Croustibat,13,8.7,16,289.083128471273,a
fish,Filets de maquereaux nature,20,14,0,206,b
fish,Filets de maquereaux grillés natures,18,15,0.5,206,c
fish,Filets de maquereaux,13,11,0.8,154,b
fish,Thunfisch Filets in eigenem Saft,27.8,0.8,0,118,a
fish,Filets de Maquereaux à la moutarde,11,17,0.6,201,d
fish,Sardines marinade citron basilic sans huile,22,7.2,1.2,158,a
fish,Conserverie Parmentier sardines,23.5,15,0,229,b
fish,Foie de Morue nature au sel de Guérande 121g Cble,4.6,59,2.3,560,d
fish,Filets de Sardines Citron Basilic,17,8.4,0.5,147,c
fish,TAM thon entier a l'huile,25.8,14.2,0,231,a
fish,Sardines sans arêtes au naturel,,,,,a
fish,Atún claro al natural,21,1.2,0.9,122.5,a
fish,Truite Fumée de France,22,7.4,0.5,155,d
fish,Sardines huile olive,24,12,0,208.163265306122,b
fish,Filets De Maquereaux À L’huile Végétale,27.1,11.6,0.5,217.2,unknown
fish,Sardines à la tomate,17,11,3.1,181,c
fish,Atún claro en aceite de oliva,19,31,0.9,357,c
fish,TAM THON - Huile,25.8,14.2,0,231,a
fish,Filet de sardine,21,16,0,307,c
fish,Truite des Pyrénées fumée,22.2,7.8,0.1,159,d
fish,Breizh Surimi saveur crabe x 10 sachets soit 30 bâtonnets,7.5,4.8,12,121,c
fish,"Truite fumée, Aquitaine",,,,,a
fish,le Breizh Surimi,7.5,4.8,12,121,c
fish,Sardines,24,12,0,234.48275862069,b
fish,Sardine à l’huile végétale,26.8,14.1,1.2,238.7,unknown
fish,Truite Fumée des Pyrénées,22,7.3,0.5,155,d
fish,Thon entier au nature,25,1,0,109,a
fish,Sardines huile d olive vierge,23,15,0,227,d
fish,Thon entier au naturel Albacore,25,1,0,109,a
fish,Thon a lhuile,29.6,2.8,0.2,145,a
fish,Joly,33,4.4,0.96,175.4,a
fish,Filets de maquereaux,18.48,10.8,0.16,171.76,b
fish,Sardines huil.olive extra v.St Gil.,23,12,0,200,b
fish,Sardines | In Extra Virgin Olive Oil,20.5555555555556,17.7777777777778,0,244.444444444444,d
fish,Thon entier au naturel albacore,25,1,0,109,a
fish,Rilettes de thon,17,22,1.5,275,b
fish,Bâton surimi,8.1,4.3,11,115,c
fish,Filets maquereau naturel,19,18,0,238,b
fish,Sardines huile d'olives et piment,23,15,0,227,c
fish,Filets de maquereaux Escabèche,11,18,2.2,210,c
fish,Colin d'Alaska MSC - 7 Céréales & Graines,13,7.2,19,196,b
fish,Thon Blanc au Naturel,26,5,0,198.666666666667,a
fish,Miettes de Maquereaux à la sauce tomate et aux épices,30.1,6.4,0.6,180.1,unknown
fish,Filet Maquereau Grillé,16,12,0.5,172,c
fish,Thon entier à l'huile,25.8,14.2,0,231,a
fish,Rillettes de saumon,16,21,1.8,263,b
fish,Sardines Label Rouge huile d'olive,23.3,15.5,0,236,a
fish,Filets de maquereaux grillés,14.17,24.17,0.42,274.17,b
fish,"Sardine huile tournesol et citron PARMENTIER, boîte 1/6",23,15,0,227,c
fish,Thon à l'huile végétale,21.1,26.3,0.5,321,d
fish,Atún en tomate,19,14,1.9,155,d
fish,Filets de sardines sans peau sans arêtes,26.6,8.1,0.6,182,b
fish,Filets de maquereaux moutarde,13,14,0.9,183,c
fish,Filets de maquereaux Huile d'Olive Vierge Extra,20,17,0,233,b
fish,Lachsforelle mild geräuchert in Scheiben,20.1,9.7,0,168,d
fish,Sardines généreuses au piment,23,15,0,195,b
fish,Peanut Butter Protein Bars,17.4,21.9,39.3,443,not-applicable
fish,4 portions de Colin d'Alaska,13,8,14,184,a
fish,Filet De Sardines,19.3,4.6,0.7,121,unknown
fish,Filets de Maquereaux Sauce Tomate et Basilic,11,13,2.8,173,c
fish,Thon entier à l’huile d’olive,25,17,0,253,b
fish,Sardines sans arêtes au citron et à l'huile d'olive vierge extra,24,12,0,204,b
fish,Sardines au naturel,22,8.4,0,172.631578947368,b
fish,Fischstäbchen,11.9,7.9,15.2,181,b
fish,Bâtonnets de surimi,8.2,4.2,10,112,c
fish,Sardines à l'huile d'olive vierge extra,24,15,0,234,b
fish,Sardines à l'huile d'olive vierge extra bio,24,12,0,204,b
fish,Thon entier au naturel,25,1,0,109,a
fish,Morceaux De Maquereaux,20.3,3.9,2.4,126,unknown
fish,Paëlla royale aux petites gambas et au safran,5.4,2.5,13,98,b
fish,Sardines généreuses à la tomate sans huile,,,,,a
fish,Thon entier au naturel,27,1.1,0,118,a
fish,Filets de MAQUEREAUX AU NATUREL,19,19,0,247,d
fish,Pescada,18,43.5,0.2,464,a
fish,Bâtonnets Colin d'Alaska MSC,12,9.4,22,222,b
fish,Filets de Thon à l'huile d'Olive vierge Extra,22,21,0.5,274,d
fish,Thunfisch Filets in Sonnenblumenöl,21,9,0,165,a
fish,Filets de Maquereaux Grillés avec un Trait d'huile d'olive,20,19,0.5,252,d
fish,thon Entier a l'huile végétale,22.4,12.4,0.5,263.3,d
fish,Filets de maquereaux aux vin blanc et aux aromates,13,11,0.5,154,b
fish,Filets de maquereaux au naturel,19,17,0,229,b
fish,Sardine à la tomate et à l'huile d'olive,12,11,2.5,158,c
fish,Sardines,24,12,0,204,b
meats,Le Supérieur -25% de Sel - Conservation sans Nitrite,22,2.8,0.5,115,c
meats,Le Supérieur - à l'Etouffée - Conservation sans Nitrite,22,2.8,0.5,115,c
meats,HERTA Lardons fumés conservation sans nitrite - 2x75g,17,19,0,239,e
meats,Blanc de Poulet,21,1.6,0.5,100,b
meats,Rôti de Poulet - 100% filet,22,2.2,0.5,109.333333333333,d
meats,Jambon Simplement Bio - Conservation sans nitrite,21,3.5,0.7,118,c
meats,jambon,21,2,0,102,c
meats,HERTA Blanc Poulet Nature conservation sans nitrite x4 -140g,21,2,0.9,105.6,b
meats,HERTA Lardons nature conservation sans nitrite - 2x75g,17,19,0,239,e
meats,Le Torchon - Cuit à l'Etouffée  - 25% de sel*,22,2.8,0.5,115,c
meats,Pechuga de Pavo Cocida 92%,19.6,1.2,0.8,89,c
meats,HERTA Allumettes Fumées conservation sans nitrite - 2x75g,17,19,0,239,d
meats,Aiguillettes de Poulet Rôti,24,1.5,2,118.666666666667,b
meats,ZERO NITRITE - LE SUPERIEUR,22,2.8,0.7,116,c
meats,Le Tranché Fin - Dégustation - 25% de sel*,22,2.8,0.5,115,c
meats,HERTA LE BON PARIS Jambon sel réduit sans nitrite x6-210g,21,2,0,102,c
meats,Blanc de Poulet,21,1.9,0.5,103.967495219885,a
meats,Jambon de porc Label Rouge Sans Nitrite,22,2.8,0.5,113,c
meats,Rôti de Porc - 25% de sel*,24,2.5,0.9,122,c
meats,Pechuguita de Pollo,26.8,2,0.4,100,a
meats,Paupiette de veau jardinière de légumes,8.1,4.9,7.6,123.666666666667,b
meats,Rôti de Porc - 100 % filet*,11.5,1.5,0.625,152.5,a
meats,HERTA LE BON PARIS Jambon conservation sans nitrite x2 - 70g,21,2,0,102,c
meats,Allumettes de Jambon,18.6666666666667,3.73333333333333,1.86666666666667,113.333333333333,d
meats,Bacon Fumé au bois de hêtre,21,2.9,0,110.898661567877,c
meats,Le Supérieur -25% de Sel - Conservation sans Nitrite,22,2.8,0.5,115,c
meats,Panés de poulet x2,12,11,17,219.646271510516,c
meats,HERTA LE BON PARIS Jambon Fumé sans nitrite x4 - 140g,21,2.4,0.9,109.2,c
meats,Rillettes du Mans - La véritable,16.2,40.5,0.4,431,e
meats,Delizias pechuga de pavo,16,0.9,1.8,79,c
meats,Blanc de Poulet - Doré au Four,21,1.6,0.5,100,a
meats,Jamón cocido lonchas,19,2.5,0.9,102,e
meats,Jambon SIMPLEMENT BON Sans couenne,22,2.8,0.5,115,c
meats,KNACKI 100% pur porc sans nitrite,13,23,1.5,265,e
meats,"Poulet au curry et au lait de coco, duo de riz",6.7,4.4,16,43.6666666666667,c
meats,Taboulé au poulet à la ciboulette,5.5,7.2,20,171,c
meats,Jamón Serrano,33.5,12.2,1,247.8,e
meats,Pork Sausages,21.6216216216216,18.018018018018,0,245.945945945946,d
meats,Jambon Le Supérieur à l'Étouffée - Conservation sans Nitrite,22,2.8,0.5,485.714285714286,c
meats,6 Pork Sausages,15.6,18,0.2,227,d
meats,Blanc de Poulet Nature Sans Nitrite,21,1.6,0.5,100,b
meats,HERTA LE BON PARIS Jambon sel réduit x6 -210g,21,2,0,102,c
meats,Filet de poulet rôti,23,2,0.5,137.112402058729,b
meats,HERTA Blanc Poulet Broche conservation sans nitrite x4 -140g,22,2,1,110,b
meats,Le Tranché Fin - Dégustation,22,2.8,0.5,115,c
meats,Pechuga de pavo reducido en sal finas lonchas,16.5,0.5,1.3,76,a
meats,Jamón cocido extra finas lonchas,18.6,2.5,0.9,44.4444444444444,c
meats,Le Supérieur à l'Etouffée,22,2.8,0.5,115,c
meats,Simplement BIO - Le supérieur - Conservation sans nitrite,21,3.5,0.7,118,c
meats,Jambon supérieur Sans nitrite,21,2.9,0.4,113,c
